"項目名","FFMQ","STAI","PSS","DASS"
"FFMQ",NA,NA,NA,NA
"STAI",-0.238798533875675,NA,NA,NA
"PSS",-0.272103271614368,0.561732088280778,NA,NA
"DASS",-0.228703268825312,0.608439264934584,0.607138898010789,NA
